product,uses,search_term_amazon_fresh_uk,asin,example_recipe_wording
"Olive oil",67,"Olive oil",,"Olive oil"
"Salt & pepper",55,"Salt & pepper",,"Salt & pepper"
"Garlic",41,"Garlic",,"Garlic"
"Lemon",33,"Lemon",,"Lemon"
"Eggs",18,"Eggs",,"Eggs"
"Maple syrup",16,"Maple syrup",,"Maple syrup"
"Onion",15,"Onion",,"Onion"
"Cherry tomatoes",14,"Cherry tomatoes",,"Cherry tomatoes"
"Cinnamon",14,"Cinnamon",,"Cinnamon"
"Pinch of salt",14,"Pinch of salt",,"Pinch of salt"
"Butter",13,"Butter",,"Butter"
"Cumin",13,"Cumin",,"Cumin"
"Honey",13,"Honey",,"Honey"
"Smoked paprika",13,"Smoked paprika",,"Smoked paprika"
"Vanilla extract",13,"Vanilla extract",,"Vanilla extract"
"Feta cheese",12,"Feta cheese",,"Feta cheese"
"Lime",12,"Lime",,"Lime"
"Dried oregano",11,"Dried oregano",,"Dried oregano"
"Chilli flakes",10,"Chilli flakes",,"Chilli flakes"
"Cucumber",10,"Cucumber",,"Cucumber"
"Fresh parsley",10,"Fresh parsley",,"Fresh parsley"
"Greek yogurt",10,"Greek yogurt",,"Greek yogurt"
"Parmesan",10,"Parmesan",,"Parmesan"
"Avocado",9,"Avocado",,"Avocado"
"Fresh coriander",9,"Fresh coriander",,"Fresh coriander"
"Rolled oats",9,"Rolled oats",,"Rolled oats"
"Tahini",9,"Tahini",,"Tahini"
"Chicken breast",8,"Chicken breast",,"Chicken breast"
"Chopped tomatoes",8,"Chopped tomatoes",,"Chopped tomatoes (tin)"
"Salt",8,"Salt",,"Salt"
"Balsamic vinegar",7,"Balsamic vinegar",,"Balsamic vinegar"
"Dark chocolate",7,"Dark chocolate",,"Dark chocolate (85%)"
"Oat milk",7,"Oat milk",,"Oat milk"
"Pistachios",7,"Pistachios",,"Pistachios"
"Plain flour",7,"Plain flour",,"Plain flour"
"Red onion",7,"Red onion",,"Red onion"
"Red pepper",7,"Red pepper",,"Red pepper"
"Sugar",7,"Sugar",,"Sugar (pinch)"
"Sweet potato",7,"Sweet potato",,"Sweet potato"
"Brown rice",6,"Brown rice",,"Brown rice"
"Chickpeas",6,"Chickpeas",,"Chickpeas (tinned)"
"Fresh basil",6,"Fresh basil",,"Fresh basil"
"Fresh thyme",6,"Fresh thyme",,"Fresh thyme"
"Kalamata olives",6,"Kalamata olives",,"Kalamata olives"
"Peanut butter",6,"Peanut butter",,"Peanut butter"
"Sea salt",6,"Sea salt",,"Sea salt"
"Vegetable stock",6,"Vegetable stock",,"Vegetable stock"
"Almond butter",5,"Almond butter",,"Almond butter"
"Brown sugar",5,"Brown sugar",,"Brown sugar"
"Cocoa powder",5,"Cocoa powder",,"Cocoa powder"
"Courgette",5,"Courgette",,"Courgette"
"Edamame",5,"Edamame",,"Edamame"
"Pecans",5,"Pecans",,"Pecans"
"Quinoa",5,"Quinoa",,"Quinoa"
"Red wine vinegar",5,"Red wine vinegar",,"Red wine vinegar"
"Sesame oil",5,"Sesame oil",,"Sesame oil"
"Spinach",5,"Spinach",,"Spinach"
"Tamari",5,"Tamari",,"Tamari"
"Walnuts",5,"Walnuts",,"Walnuts"
"Arugula",4,"Arugula",,"Arugula"
"Banana",4,"Banana",,"Banana"
"Broccoli",4,"Broccoli",,"Broccoli"
"Carrot",4,"Carrot",,"Carrot"
"Carrots",4,"Carrots",,"Carrots"
"Fresh dill",4,"Fresh dill",,"Fresh dill"
"Fresh ginger",4,"Fresh ginger",,"Fresh ginger"
"Ginger",4,"Ginger",,"Ginger (fresh or powder)"
"Green beans",4,"Green beans",,"Green beans"
"Lemon zest",4,"Lemon zest",,"Lemon zest"
"Nutmeg",4,"Nutmeg",,"Nutmeg"
"Pasta",4,"Pasta",,"Pasta (spaghetti or penne)"
"Pine nuts",4,"Pine nuts",,"Pine nuts (optional)"
"Pomegranate seeds",4,"Pomegranate seeds",,"Pomegranate seeds"
"Sourdough bread",4,"Sourdough bread",,"Sourdough bread"
"Vegetable oil",4,"Vegetable oil",,"Vegetable oil"
"Almonds",3,"Almonds",,"Almonds"
"Aubergine",3,"Aubergine",,"Aubergine"
"Baking powder",3,"Baking powder",,"Baking powder"
"Baking soda",3,"Baking soda",,"Baking soda"
"Beef mince",3,"Beef mince",,"Beef mince"
"Black beans",3,"Black beans",,"Black beans (tin)"
"Blueberries",3,"Blueberries",,"Blueberries"
"Cauliflower",3,"Cauliflower",,"Cauliflower"
"Chia seeds",3,"Chia seeds",,"Chia seeds"
"Coconut flakes",3,"Coconut flakes",,"Coconut flakes"
